Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  deleted_Columns  
423  1269  3  0  inf  0  
424  1272  3  0  inf  0  
425  1275  3  0  inf  0  
426  1278  3  0  inf  0  
427  1281  3  0  inf  0  
428  1284  3  0  inf  0  
429  1287  3  0  inf  0  
430  1290  3  0  inf  0  
431  1293  3  0  inf  0  
432  1296  3  0  inf  0  
433  1299  3  0  inf  0  
434  1302  3  0  inf  0  
435  1305  3  0  inf  0  
436  1308  3  0  inf  0  
437  1311  3  0  inf  0  
438  1314  3  0  inf  0  
439  1317  3  0  inf  0  
440  1320  3  0  inf  0  
441  1323  3  0  inf  0  
442  1326  3  0  inf  0  
443  1329  3  0  inf  0  
444  1332  3  0  inf  0  
445  1335  3  0  inf  0  
446  1338  3  0  inf  0  
447  1341  3  0  inf  0  
448  1344  3  0  inf  0  
449  1347  3  0  inf  0  
450  1350  3  0  inf  0  
451  1353  3  0  inf  0  
452  1356  3  0  inf  0  
453  1359  3  0  inf  0  
454  1362  3  0  inf  0  
455  1365  3  0  inf  0  
456  1368  3  0  inf  0  
457  1371  3  0  inf  0  
458  1374  3  0  inf  0  
459  1377  3  0  inf  0  
460  1380  3  0  inf  0  
461  1383  3  0  inf  0  
462  1386  3  0  inf  0  
463  1389  3  0  inf  0  
464  1392  3  0  inf  0  
465  1395  3  0  inf  0  
466  1398  3  0  inf  0  
467  1401  3  0  inf  0  
468  1404  3  0  inf  0  
469  1407  3  0  inf  0  
470  1410  3  0  inf  0  
471  1413  3  0  inf  0  
472  1416  3  0  inf  0  
473  1419  3  0  inf  0  
474  1422  3  0  inf  0  
475  1425  3  0  inf  0  
476  1428  3  0  inf  0  
477  1431  3  0  inf  0  
478  1434  3  0  inf  0  
479  1437  3  0  inf  0  
480  1440  3  0  inf  0  
481  1443  3  0  inf  0  
482  1446  3  0  inf  0  
483  1449  3  0  inf  0  
484  1452  3  0  inf  0  
485  1455  3  0  inf  0  
486  1458  3  0  inf  0  
487  1461  3  0  inf  0  
488  1464  3  0  inf  0  
489  1467  3  0  inf  0  
490  1470  3  0  inf  0  
491  1473  3  0  inf  0  
492  1476  3  0  inf  0  
493  1479  3  0  inf  0  
494  1482  3  0  inf  0  
495  1485  3  0  inf  0  
496  1488  3  0  inf  0  
497  1491  3  0  inf  0  
498  1494  3  0  inf  0  
499  1497  3  0  inf  0  
500  1500  3  0  inf  0  
501  1503  3  0  inf  0  
502  1506  3  0  inf  0  
503  1509  3  0  inf  0  
504  1512  3  0  inf  0  
505  1515  3  0  inf  0  
506  1518  3  0  inf  0  
507  1521  3  0  inf  0  
508  1524  3  0  inf  0  
509  1527  3  0  inf  0  
510  1530  3  0  inf  0  
511  1533  3  0  inf  0  
512  1536  3  0  inf  0  
513  1539  3  0  inf  0  
514  1542  3  0  inf  0  
515  1545  3  0  inf  0  
516  1548  3  0  inf  0  
517  1551  3  0  inf  0  
518  1554  3  0  inf  0  
519  1557  3  0  inf  0  
520  1560  3  0  inf  0  
521  1563  3  0  inf  0  
522  1566  3  0  inf  0  
523  1569  3  0  inf  0  
524  1572  3  0  inf  0  
525  1575  3  0  inf  0  
526  1578  3  0  inf  0  
527  1581  3  0  inf  0  
528  1584  3  0  inf  0  
529  1587  3  0  inf  0  
530  1590  3  0  inf  0  
531  1593  3  0  inf  0  
532  1596  3  0  inf  0  
533  1599  3  0  inf  0  
534  1602  3  0  inf  0  
535  1605  3  0  inf  0  
536  1608  3  0  inf  0  
537  1611  3  0  inf  0  
538  1614  3  0  inf  0  
539  1617  3  0  inf  0  
540  1620  3  0  inf  0  
541  1623  3  0  inf  0  
542  1626  3  0  inf  0  
543  1629  3  0  inf  0  
544  1632  3  0  inf  0  
545  1635  3  0  inf  0  
546  1638  3  0  inf  0  
547  1641  3  0  inf  0  
548  1644  3  0  inf  0  
549  1647  3  0  inf  0  
550  1650  3  0  inf  0  
551  1653  3  0  inf  0  
552  1656  3  0  inf  0  
553  1659  3  0  inf  0  
554  1662  3  0  inf  0  
555  1665  3  0  inf  0  
556  1668  3  0  inf  0  
557  1671  3  0  inf  0  
558  1674  3  0  inf  0  
559  1677  3  0  inf  0  
560  1680  3  0  inf  0  
561  1683  3  0  inf  0  
562  1686  3  0  inf  0  
563  1689  3  0  inf  0  
564  1692  3  0  inf  0  
565  1695  3  0  inf  0  
566  1698  3  0  inf  0  
567  1701  3  0  inf  0  
568  1704  3  0  inf  0  
569  1707  3  0  inf  0  
570  1710  3  0  inf  0  
571  1713  3  0  inf  0  
572  1716  3  0  inf  0  
573  1719  3  0  inf  0  
574  1722  3  0  inf  0  
575  1725  3  0  inf  0  
576  1728  3  0  inf  0  
577  1731  3  0  inf  0  
578  1734  3  0  inf  0  
579  1737  3  0  inf  0  
580  1740  3  0  inf  0  
581  1743  3  0  inf  0  
582  1746  3  0  inf  0  
583  1749  3  0  inf  0  
584  1752  3  0  inf  0  
585  1755  3  0  inf  0  
586  1758  3  0  inf  0  
587  1761  3  0  inf  0  
588  1764  3  0  inf  0  
589  1767  3  0  inf  0  
590  1770  3  0  inf  0  
591  1773  3  0  inf  0  
592  1776  3  0  inf  0  
593  1779  3  0  inf  0  
594  1782  3  0  inf  0  
595  1785  3  0  inf  0  
596  1788  3  0  inf  0  
597  1791  3  0  inf  0  
598  1794  3  0  inf  0  
599  1797  3  0  inf  0  
600  1800  3  0  inf  0  
601  1803  3  0  inf  0  
602  1806  3  0  inf  0  
603  1809  3  0  inf  0  
604  1812  3  0  inf  0  
605  1815  3  0  inf  0  
606  1818  3  0  inf  0  
607  1821  3  0  inf  0  
608  1824  3  0  inf  0  
609  1827  3  0  inf  0  
610  1830  3  0  inf  0  
611  1833  3  0  inf  0  
612  1836  3  0  inf  0  
613  1839  3  0  inf  0  
614  1842  3  0  inf  0  
615  1845  3  0  inf  0  
616  1848  3  0  inf  0  
617  1851  3  0  inf  0  
618  1854  3  0  inf  0  
619  1857  3  0  inf  0  
620  1860  3  0  inf  0  
621  1863  3  0  inf  0  
622  1866  3  0  inf  0  
623  1869  3  0  inf  0  
624  1872  3  0  inf  0  
625  1875  3  0  inf  0  
626  1878  3  0  inf  0  
627  1881  3  0  inf  0  
628  1884  3  0  inf  0  
629  1887  3  0  inf  0  
630  1890  3  0  inf  0  
631  1893  3  0  inf  0  
632  1896  3  0  inf  0  
633  1899  3  0  inf  0  
634  1902  3  0  inf  0  
635  1905  3  0  inf  0  
636  1908  3  0  inf  0  
637  1911  3  0  inf  0  
638  1914  3  0  inf  0  
639  1917  3  0  inf  0  
640  1920  3  0  inf  0  
641  1923  3  0  inf  0  
642  1926  3  0  inf  0  
643  1929  3  0  inf  0  
644  1932  3  0  inf  0  
645  1935  3  0  inf  0  
646  1938  3  0  inf  0  
647  1941  3  0  inf  0  
648  1944  3  0  inf  0  
649  1947  3  0  inf  0  
650  1950  3  0  inf  0  
651  1953  3  0  inf  0  
652  1956  3  0  inf  0  
653  1959  3  0  inf  0  
654  1962  3  0  inf  0  
655  1965  3  0  inf  0  
656  1968  3  0  inf  0  
657  1971  3  0  inf  0  
658  1974  3  0  inf  0  
659  1977  3  0  inf  0  
660  1980  3  0  inf  0  
661  1983  3  0  inf  0  
662  1986  3  0  inf  0  
663  1989  3  0  inf  0  
664  1992  3  0  inf  0  
665  1995  3  0  inf  0  
666  1998  3  0  inf  0  
667  2001  3  0  inf  0  
668  2004  3  0  inf  0  
669  2007  3  0  inf  0  
670  2010  3  0  inf  0  
671  2013  3  0  inf  0  
672  2016  3  0  inf  0  
673  2019  3  0  inf  0  
674  2022  3  0  inf  0  
675  2025  3  0  inf  0  
676  2028  3  0  inf  0  
677  2031  3  0  inf  0  
678  2034  3  0  inf  0  
679  2037  3  0  inf  0  
680  2040  3  0  inf  0  
681  2043  3  0  inf  0  
682  2046  3  0  inf  0  
683  2049  3  0  inf  0  
684  2052  3  0  inf  0  
685  2055  3  0  inf  0  
686  2058  3  0  inf  0  
687  2061  3  0  inf  0  
688  2064  3  0  inf  0  
689  2067  3  0  inf  0  
690  2070  3  0  inf  0  
691  2073  3  0  inf  0  
692  2076  3  0  inf  0  
693  2079  3  0  inf  0  
694  2082  3  0  inf  0  
695  2085  3  0  inf  0  
696  2088  3  0  inf  0  
697  2091  3  0  inf  0  
698  2094  3  0  inf  0  
699  2097  3  0  inf  0  
700  2100  3  0  inf  0  
701  2103  3  0  inf  0  
702  2106  3  0  inf  0  
703  2109  3  0  inf  0  
704  2112  3  0  inf  0  
705  2115  3  0  inf  0  
706  2118  3  0  inf  0  
707  2121  3  0  inf  0  
708  2124  3  0  inf  0  
709  2127  3  0  inf  0  
710  2130  3  0  inf  0  
711  2133  3  0  inf  0  
712  2136  3  0  inf  0  
713  2139  3  0  inf  0  
714  2142  3  0  inf  0  
715  2145  3  0  inf  0  
716  2148  3  0  inf  0  
717  2151  3  0  inf  0  
718  2154  3  0  inf  0  
719  2157  3  0  inf  0  
720  2160  3  0  inf  0  
721  2163  3  0  inf  0  
722  2166  3  0  inf  0  
723  2169  3  0  inf  0  
724  2172  3  0  inf  0  
725  2175  3  0  inf  0  
726  2178  3  0  inf  0  
727  2181  3  0  inf  0  
728  2184  3  0  inf  0  
729  2187  3  0  inf  0  
730  2190  3  0  inf  0  
731  2193  3  0  inf  0  
732  2196  3  0  inf  0  
733  2199  3  0  inf  0  
734  2202  3  0  inf  0  
735  2205  3  0  inf  0  
736  2208  3  0  inf  0  
737  2211  3  0  inf  0  
738  2214  3  0  inf  0  
739  2217  3  0  inf  0  
740  2220  3  0  inf  0  
741  2223  3  0  inf  0  
742  2226  3  0  inf  0  
743  2229  3  0  inf  0  
744  2232  3  0  inf  0  
745  2235  3  0  inf  0  
746  2238  3  0  inf  0  
747  2241  3  0  inf  0  
748  2244  3  0  inf  0  
749  2247  3  0  inf  0  
750  2250  3  0  inf  0  
751  2253  3  0  inf  0  
752  2256  3  0  inf  0  
753  2259  3  0  inf  0  
754  2262  3  0  inf  0  
755  2265  3  0  inf  0  
756  2268  3  0  inf  0  
757  2271  3  0  inf  0  
758  2274  3  0  inf  0  
759  2277  3  0  inf  0  
760  2280  3  0  inf  0  
761  2283  3  0  inf  0  
762  2286  3  0  inf  0  
763  2289  3  0  inf  0  
764  2292  3  0  inf  0  
765  2295  3  0  inf  0  
766  2298  3  0  inf  0  
767  2301  3  0  inf  0  
768  2304  3  0  inf  0  
769  2307  3  0  inf  0  
770  2310  3  0  inf  0  
771  2313  3  0  inf  0  
772  2316  3  0  inf  0  
773  2319  3  0  inf  0  
774  2322  3  0  inf  0  
775  2325  3  0  inf  0  
776  2328  3  0  inf  0  
777  2331  3  0  inf  0  
778  2334  3  0  inf  0  
779  2337  3  0  inf  0  
780  2340  3  0  inf  0  
781  2343  3  0  inf  0  
782  2346  3  0  inf  0  
783  2349  3  0  inf  0  
784  2352  3  0  inf  0  
785  2355  3  0  inf  0  
786  2358  3  0  inf  0  
787  2361  3  0  inf  0  
788  2364  3  0  inf  0  
789  2367  3  0  inf  0  
790  2370  3  0  inf  0  
791  2373  3  0  inf  0  
792  2376  3  0  inf  0  
793  2379  3  0  inf  0  
794  2382  3  0  inf  0  
795  2385  3  0  inf  0  
796  2388  3  0  inf  0  
797  2391  3  0  inf  0  
798  2394  3  0  inf  0  
799  2397  3  0  inf  0  
800  2400  3  0  inf  0  
801  2403  3  0  inf  0  
802  2406  3  0  inf  0  
803  2409  3  0  inf  0  
804  2412  3  0  inf  0  
805  2415  3  0  inf  0  
806  2418  3  0  inf  0  
807  2421  3  0  inf  0  
808  2424  3  0  inf  0  
809  2427  3  0  inf  0  
810  2430  3  0  inf  0  
811  2433  3  0  inf  0  
812  2436  3  0  inf  0  
813  2439  3  0  inf  0  
814  2442  3  0  inf  0  
815  2445  3  0  inf  0  
816  2448  3  0  inf  0  
817  2451  3  0  inf  0  
818  2454  3  0  inf  0  
819  2457  3  0  inf  0  
820  2460  3  0  inf  0  
821  2463  3  0  inf  0  
822  2466  3  0  inf  0  
823  2469  3  0  inf  0  
824  2472  3  0  inf  0  
825  2475  3  0  inf  0  
826  2478  3  0  inf  0  
827  2481  3  0  inf  0  
828  2484  3  0  inf  0  
829  2487  3  0  inf  0  
830  2490  3  0  inf  0  
831  2493  3  0  inf  0  
832  2496  3  0  inf  0  
833  2499  3  0  inf  0  
834  2502  3  0  inf  0  
835  2505  3  0  inf  0  
836  2508  3  0  inf  0  
837  2511  3  0  inf  0  
838  2514  3  0  inf  0  
839  2517  3  0  inf  0  
840  2520  3  0  inf  0  
841  2523  3  0  inf  0  
842  2526  3  0  inf  0  
843  2529  3  0  inf  0  
844  2532  3  0  inf  0  
845  2535  3  0  inf  0  
846  2538  3  0  inf  0  
847  2541  3  0  inf  0  
848  2544  3  0  inf  0  
849  2547  3  0  inf  0  
850  2550  3  0  inf  0  
851  2553  3  0  inf  0  
852  2556  3  0  inf  0  
853  2559  3  0  inf  0  
854  2562  3  0  inf  0  
855  2565  3  0  inf  0  
856  2568  3  0  inf  0  
857  2571  3  0  inf  0  
858  2574  3  0  inf  0  
859  2577  3  0  inf  0  
860  2580  3  0  inf  0  
861  2583  3  0  inf  0  
862  2586  3  0  inf  0  
863  2589  3  0  inf  0  
864  2592  3  0  inf  0  
865  2595  3  0  inf  0  
866  2598  3  0  inf  0  
867  2601  3  0  inf  0  
868  2604  3  0  inf  0  
869  2607  3  0  inf  0  
870  2610  3  0  inf  0  
871  2613  3  0  inf  0  
872  2616  3  0  inf  0  
873  2619  3  0  inf  0  
874  2622  3  0  inf  0  
875  2625  3  0  inf  0  
876  2628  3  0  inf  0  
877  2631  3  0  inf  0  
878  2634  3  0  inf  0  
879  2637  3  0  inf  0  
880  2640  3  0  inf  0  
881  2643  3  0  inf  0  
882  2646  3  0  inf  0  
883  2649  3  0  inf  0  
884  2652  3  0  inf  0  
885  2655  3  0  inf  0  
886  2658  3  0  inf  0  
887  2661  3  0  inf  0  
888  2664  3  0  inf  0  
889  2667  3  0  inf  0  
890  2670  3  0  inf  0  
891  2673  3  0  inf  0  
892  2676  3  0  inf  0  
893  2679  3  0  inf  0  
894  2682  3  0  inf  0  
895  2685  3  0  inf  0  
896  2688  3  0  inf  0  
897  2691  3  0  inf  0  
898  2694  3  0  inf  0  
899  2697  3  0  inf  0  
900  2700  3  0  inf  0  
901  2703  3  0  inf  0  
902  2706  3  0  inf  0  
903  2709  3  0  inf  0  
904  2712  3  0  inf  0  
905  2715  3  0  inf  0  
906  2718  3  0  inf  0  
907  2721  3  0  inf  0  
908  2724  3  0  inf  0  
909  2727  3  0  inf  0  
910  2730  3  0  inf  0  
911  2733  3  0  inf  0  
912  2736  3  0  inf  0  
913  2739  3  0  inf  0  
914  2742  3  0  inf  0  
915  2745  3  0  inf  0  
916  2748  3  0  inf  0  
917  2751  3  0  inf  0  
918  2754  3  0  inf  0  
919  2757  3  0  inf  0  
920  2760  3  0  inf  0  
921  2763  3  0  inf  0  
922  2766  3  0  inf  0  
923  2769  3  0  inf  0  
924  2772  3  0  inf  0  
925  2775  3  0  inf  0  
926  2778  3  0  inf  0  
927  2781  3  0  inf  0  
928  2784  3  0  inf  0  
929  2787  3  0  inf  0  
930  2790  3  0  inf  0  
931  2793  3  0  inf  0  
932  2796  3  0  inf  0  
933  2799  3  0  inf  0  
934  2802  3  0  inf  0  
935  2805  3  0  inf  0  
936  2808  3  0  inf  0  
937  2811  3  0  inf  0  
938  2814  3  0  inf  0  
939  2817  3  0  inf  0  
940  2820  3  0  inf  0  
941  2823  3  0  inf  0  
942  2826  3  0  inf  0  
943  2829  3  0  inf  0  
944  2832  3  0  inf  0  
945  2835  3  0  inf  0  
946  2838  3  0  inf  0  
